               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.030065,            0.030999,            0.015201,             0.89364,             0.65598,             0.78971,             0.58771,             0.02436,            0.019702,           0.0066257,           0.0099297,           0.0099297,           0.0099297
                  73,            0.031297,            0.030753,            0.015973,             0.88675,             0.66142,              0.7955,             0.60777,            0.025083,            0.019274,           0.0067055,           0.0099287,           0.0099287,           0.0099287
                  74,               0.031,            0.029856,            0.013683,             0.87826,             0.65901,             0.79408,             0.58814,            0.026038,            0.019458,           0.0072144,           0.0099277,           0.0099277,           0.0099277
                  75,            0.030853,            0.029357,            0.015779,             0.91741,             0.66243,             0.80332,             0.59463,            0.025107,            0.019013,           0.0066892,           0.0099267,           0.0099267,           0.0099267
                  76,            0.030406,            0.031411,            0.015599,             0.89894,             0.67563,             0.81446,             0.61701,            0.024378,            0.018981,           0.0066204,           0.0099258,           0.0099258,           0.0099258
                  77,             0.03142,            0.030578,            0.014091,             0.85947,              0.6815,             0.81749,             0.60715,            0.024194,            0.018691,           0.0065851,           0.0099248,           0.0099248,           0.0099248
                  78,            0.031216,            0.030467,            0.014598,             0.83097,             0.70878,             0.81496,             0.59629,            0.024869,             0.01869,           0.0069124,           0.0099238,           0.0099238,           0.0099238
                  79,            0.031452,            0.031232,            0.014746,             0.81575,             0.71855,             0.82901,             0.62179,            0.025189,            0.019016,           0.0064057,           0.0099228,           0.0099228,           0.0099228
                  80,            0.029753,            0.029236,            0.015054,             0.85753,             0.70646,             0.82416,             0.62106,            0.024699,            0.018706,            0.006223,           0.0099218,           0.0099218,           0.0099218
                  81,             0.02983,            0.029155,            0.013763,             0.86238,             0.70483,             0.82347,             0.62528,            0.025341,            0.018912,           0.0061031,           0.0099208,           0.0099208,           0.0099208
                  82,            0.030513,             0.02966,            0.015457,             0.90223,             0.70448,             0.84827,             0.65049,            0.024393,            0.018763,           0.0060926,           0.0099198,           0.0099198,           0.0099198
                  83,            0.030262,             0.03012,            0.013753,             0.90366,             0.69875,             0.83144,             0.62761,            0.025002,            0.019161,           0.0060446,           0.0099188,           0.0099188,           0.0099188
                  84,             0.03093,            0.030142,            0.014827,             0.89489,             0.69834,             0.81906,             0.61758,            0.024522,            0.018914,           0.0060519,           0.0099178,           0.0099178,           0.0099178
                  85,            0.030457,            0.030437,            0.014087,             0.85395,             0.72872,             0.82683,             0.63105,            0.024295,            0.018535,           0.0058666,           0.0099168,           0.0099168,           0.0099168
                  86,            0.031094,            0.028957,            0.014569,             0.87821,             0.72018,             0.83342,             0.63213,            0.023943,            0.018515,           0.0058624,           0.0099159,           0.0099159,           0.0099159
                  87,            0.029469,            0.029758,            0.014171,             0.86797,             0.70873,             0.84067,             0.63558,            0.025182,            0.019036,           0.0059052,           0.0099149,           0.0099149,           0.0099149
                  88,            0.029502,             0.02793,            0.014551,             0.88723,             0.69655,             0.83345,             0.62843,            0.023464,            0.018731,           0.0058875,           0.0099139,           0.0099139,           0.0099139
                  89,            0.028927,            0.028702,            0.013922,             0.87715,             0.72093,             0.83381,             0.63211,            0.024683,            0.018769,            0.005752,           0.0099129,           0.0099129,           0.0099129
                  90,            0.030978,               0.029,            0.014722,             0.87965,             0.70128,             0.83188,             0.61596,            0.027005,            0.018839,           0.0057488,           0.0099119,           0.0099119,           0.0099119
                  91,            0.031384,            0.029187,            0.014682,             0.92046,             0.69924,             0.83301,             0.63009,            0.024131,            0.018277,           0.0059592,           0.0099109,           0.0099109,           0.0099109
                  92,            0.030072,            0.029236,            0.013911,             0.91504,             0.70086,             0.83891,             0.63145,            0.024025,            0.018622,           0.0057823,           0.0099099,           0.0099099,           0.0099099
                  93,            0.029687,            0.028033,            0.013814,             0.92037,             0.69993,             0.83378,             0.63434,            0.024698,            0.018738,           0.0056794,           0.0099089,           0.0099089,           0.0099089
                  94,            0.029677,            0.030411,            0.013524,              0.9071,             0.71155,             0.84877,             0.65702,            0.023496,            0.018203,           0.0054813,           0.0099079,           0.0099079,           0.0099079
                  95,            0.030713,            0.030311,             0.01351,             0.87062,             0.72941,             0.85006,             0.62743,            0.025151,            0.018352,           0.0055246,           0.0099069,           0.0099069,           0.0099069
                  96,             0.02922,            0.029544,            0.013529,             0.88483,             0.73731,             0.84661,             0.64996,            0.022966,            0.018215,           0.0054528,            0.009906,            0.009906,            0.009906
                  97,            0.028965,            0.029641,            0.013568,             0.84948,             0.73277,             0.83807,             0.64685,            0.023308,            0.018193,           0.0052898,            0.009905,            0.009905,            0.009905
                  98,            0.030286,            0.029999,            0.012786,             0.88649,             0.73631,             0.86206,             0.65326,            0.024451,            0.018289,           0.0051103,            0.009904,            0.009904,            0.009904
                  99,             0.03138,            0.029994,            0.012218,             0.91524,             0.71242,              0.8681,             0.64986,            0.024117,              0.0182,           0.0054202,            0.009903,            0.009903,            0.009903
                 100,            0.030232,            0.029414,            0.012512,             0.88382,             0.73309,             0.86519,             0.66735,             0.02299,            0.017866,           0.0056348,            0.009902,            0.009902,            0.009902
                 101,            0.029882,            0.027813,            0.013473,             0.88131,             0.73264,             0.86408,             0.65672,            0.023203,            0.018054,           0.0051616,            0.009901,            0.009901,            0.009901
                 102,            0.030123,             0.02828,            0.011768,              0.8973,             0.72007,              0.8642,              0.6616,            0.024145,              0.0179,           0.0049723,              0.0099,              0.0099,              0.0099
                 103,            0.029798,            0.030519,            0.010955,             0.88206,             0.73935,             0.87426,             0.65424,            0.023193,            0.017881,           0.0050575,            0.009899,            0.009899,            0.009899
                 104,            0.030059,            0.029533,            0.012149,             0.88549,             0.73785,             0.88447,             0.68066,            0.023776,            0.017719,           0.0049729,            0.009898,            0.009898,            0.009898
                 105,            0.029305,            0.028658,            0.011784,             0.91292,             0.72421,              0.8725,             0.66922,            0.023967,            0.017714,           0.0050369,           0.0098971,           0.0098971,           0.0098971
                 106,            0.029441,            0.028957,            0.013315,             0.90382,              0.7285,             0.88117,             0.67942,            0.022461,            0.017553,           0.0051037,           0.0098961,           0.0098961,           0.0098961
                 107,            0.029205,            0.027298,            0.013363,             0.87384,             0.74532,             0.88168,             0.69012,            0.022969,            0.017682,           0.0049743,           0.0098951,           0.0098951,           0.0098951
                 108,            0.029369,            0.028909,            0.012491,             0.88636,             0.73734,             0.86702,             0.66747,            0.022633,            0.017766,           0.0049424,           0.0098941,           0.0098941,           0.0098941
                 109,            0.030536,            0.029423,            0.013154,             0.90084,             0.71746,             0.85931,             0.64616,            0.024193,            0.017934,           0.0048687,           0.0098931,           0.0098931,           0.0098931
                 110,            0.030296,             0.02909,            0.011488,             0.90371,             0.72854,             0.87804,             0.67999,            0.023693,            0.017804,           0.0048884,           0.0098921,           0.0098921,           0.0098921
                 111,            0.030977,            0.029176,            0.011929,             0.87072,             0.74072,             0.87162,             0.66525,            0.024161,            0.018003,            0.004914,           0.0098911,           0.0098911,           0.0098911
                 112,            0.029344,            0.029521,            0.012427,              0.9143,             0.72505,             0.88611,             0.68174,             0.02217,            0.018047,           0.0049706,           0.0098901,           0.0098901,           0.0098901
                 113,            0.029679,            0.029083,            0.012107,             0.89238,              0.7377,             0.90111,             0.70588,            0.022535,            0.017763,           0.0048152,           0.0098891,           0.0098891,           0.0098891
                 114,            0.029468,            0.029002,            0.012016,             0.87298,              0.7525,             0.90909,             0.71317,            0.022217,            0.017427,           0.0048023,           0.0098881,           0.0098881,           0.0098881
                 115,            0.028999,            0.026461,            0.011217,             0.89599,             0.74328,             0.88907,             0.69894,            0.022371,            0.017688,           0.0048024,           0.0098872,           0.0098872,           0.0098872
                 116,            0.029975,            0.029195,            0.012138,             0.89891,             0.73167,             0.89294,             0.69767,             0.02303,            0.017522,            0.004624,           0.0098862,           0.0098862,           0.0098862
                 117,            0.027853,            0.028613,             0.01142,               0.891,             0.75638,             0.91847,             0.71486,            0.021814,            0.017424,           0.0045747,           0.0098852,           0.0098852,           0.0098852
                 118,            0.028763,            0.028075,            0.012048,             0.91507,             0.74281,              0.8945,             0.68961,            0.023176,            0.017688,            0.004523,           0.0098842,           0.0098842,           0.0098842
                 119,            0.030463,            0.031193,            0.011895,             0.90114,             0.75008,             0.90394,             0.70335,            0.022719,            0.017287,            0.004535,           0.0098832,           0.0098832,           0.0098832
                 120,            0.028521,            0.026803,             0.01206,             0.89881,             0.74623,             0.90618,              0.6939,            0.022515,            0.017125,           0.0045102,           0.0098822,           0.0098822,           0.0098822
                 121,            0.027958,            0.027381,            0.011434,              0.8937,             0.75051,             0.90846,             0.69274,            0.023041,            0.017153,           0.0044151,           0.0098812,           0.0098812,           0.0098812
                 122,            0.029188,            0.028793,            0.011733,             0.90953,             0.73026,             0.90344,             0.70084,            0.022235,            0.017218,           0.0045134,           0.0098802,           0.0098802,           0.0098802
                 123,             0.02918,            0.029882,            0.010888,             0.91222,             0.73455,               0.907,             0.72107,             0.02148,            0.016953,           0.0047888,           0.0098792,           0.0098792,           0.0098792
                 124,            0.028707,            0.027322,            0.011183,             0.90893,             0.74106,             0.91838,             0.71441,            0.022534,            0.017283,           0.0045875,           0.0098782,           0.0098782,           0.0098782
                 125,            0.028923,             0.02792,            0.012864,             0.89255,             0.74136,             0.90486,             0.70282,            0.022852,            0.017201,           0.0044002,           0.0098773,           0.0098773,           0.0098773
                 126,            0.029644,             0.02806,            0.011163,              0.9054,             0.74105,             0.90446,             0.70325,            0.022449,            0.016995,           0.0042977,           0.0098763,           0.0098763,           0.0098763
                 127,            0.030067,            0.028659,            0.011855,             0.91704,             0.73772,             0.91151,             0.70637,            0.021998,            0.017056,           0.0043187,           0.0098753,           0.0098753,           0.0098753
                 128,            0.028865,            0.026914,            0.011197,             0.90586,             0.74392,              0.9084,             0.70865,            0.022673,            0.017348,           0.0042724,           0.0098743,           0.0098743,           0.0098743
                 129,            0.029985,            0.029985,            0.010983,             0.91169,             0.75033,             0.91329,             0.71736,            0.022012,            0.017174,           0.0042538,           0.0098733,           0.0098733,           0.0098733
                 130,             0.02812,            0.027198,             0.01082,             0.87309,             0.76526,             0.91156,             0.70078,             0.02245,            0.017383,           0.0042179,           0.0098723,           0.0098723,           0.0098723
                 131,            0.028465,            0.027523,            0.011146,              0.8864,             0.75197,             0.91175,             0.70352,            0.022698,            0.017359,           0.0041453,           0.0098713,           0.0098713,           0.0098713
                 132,            0.030604,            0.027328,            0.011136,             0.88837,             0.76236,             0.91609,             0.71636,            0.023478,            0.017441,           0.0042198,           0.0098703,           0.0098703,           0.0098703
                 133,            0.028608,            0.027126,            0.011052,             0.88306,             0.77794,             0.92709,             0.73412,            0.021821,            0.016971,           0.0041998,           0.0098693,           0.0098693,           0.0098693
                 134,            0.029842,            0.028922,            0.011445,             0.86892,              0.7819,             0.93194,             0.73251,            0.021982,            0.016869,           0.0040231,           0.0098683,           0.0098683,           0.0098683
                 135,            0.028802,            0.026852,            0.011945,             0.87001,             0.78987,             0.93659,             0.72642,            0.021903,            0.016893,           0.0040211,           0.0098674,           0.0098674,           0.0098674
                 136,            0.029181,            0.026777,            0.010556,             0.85909,             0.77886,             0.92887,             0.73527,            0.021652,            0.016885,            0.004082,           0.0098664,           0.0098664,           0.0098664
                 137,            0.027823,            0.028257,            0.010967,             0.92051,             0.74448,             0.92348,              0.7119,              0.0224,            0.016861,           0.0040535,           0.0098654,           0.0098654,           0.0098654
                 138,            0.029583,             0.02737,            0.010833,             0.91959,             0.74823,             0.93235,              0.7287,            0.022371,            0.016782,           0.0040121,           0.0098644,           0.0098644,           0.0098644
